State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Population
Andaman And Nicobar,10029,1,9899,129,0.01,98.7,1.29,100896618
Andhra Pradesh,2319267,506,2304031,14730,0.02,99.34,0.64,128500364
Arunachal Pradesh,64484,6,64182,296,0.01,99.53,0.46,658019
Assam,724192,1365,716188,6639,0.19,98.89,0.92,290492
Bihar,830419,36,818127,12256,0.0,98.52,1.48,40100376
Chandigarh,91892,28,90699,1165,0.03,98.7,1.27,79502477
Chhattisgarh,1151939,132,1137773,14034,0.01,98.77,1.22,28900667
Dadra And Nagar Haveli And Daman And Diu,11441,1,11436,4,0.01,99.96,0.03,231502578
Delhi,1863899,505,1837247,26147,0.03,98.57,1.4,773997
Goa,245253,54,241369,3830,0.02,98.42,1.56,3772103
Gujarat,1223780,326,1212513,10941,0.03,99.08,0.89,70400153
Haryana,984625,382,973645,10598,0.04,98.88,1.08,14999397
Himachal Pradesh,284361,239,279990,4132,0.08,98.46,1.45,3436948
Jammu And Kashmir,453562,111,448701,4750,0.02,98.93,1.05,66001
Jharkhand,435044,119,429610,5315,0.03,98.75,1.22,124904071
Karnataka,3944785,1933,3902813,40039,0.05,98.94,1.01,1711947
Kerala,6527645,6260,6454022,67363,0.1,98.87,1.03,91702478
Ladakh,28208,36,27944,228,0.13,99.06,0.81,4184959
Lakshadweep,11402,0,11350,52,0.0,99.54,0.46,11700099
Madhya Pradesh,1040901,176,1029991,10734,0.02,98.95,1.03,7503010
Maharashtra,7872512,5277,7723468,143767,0.07,98.11,1.83,399001
Manipur,137045,76,134849,2120,0.06,98.4,1.55,47099270
Meghalaya,93728,54,92083,1591,0.06,98.24,1.7,30501026
Mizoram,222993,1649,220667,677,0.74,98.96,0.3,1308967
Nagaland,35466,37,34671,758,0.1,97.76,2.14,38157311
Odisha,1287193,580,1277497,9116,0.05,99.25,0.71,19301096
Puducherry,165772,13,163797,1962,0.01,98.81,1.18,2073074
Punjab,758942,175,741029,17738,0.02,97.64,2.34,34698876
Rajasthan,1282657,359,1272747,9551,0.03,99.23,0.74,1521992
Sikkim,39122,17,38656,449,0.04,98.81,1.15,83697770
Tamil Nadu,3452442,576,3413841,38025,0.02,98.88,1.1,35998752
Telengana,790864,639,786114,4111,0.08,99.4,0.52,69599762
Tripura,100870,0,99951,919,0.0,99.09,0.91,1646050
Uttar Pradesh,2070339,777,2046070,23492,0.04,98.83,1.13,1158040
Uttarakhand,437056,618,428748,7690,0.14,98.1,1.76,85002417
West Bengal,2016842,850,1994797,21195,0.04,98.91,1.05,32199722
